Company Name,Tags,Phone,Address
安利消防器材有限公司,"消防設備,Blanket,Fire Extinguisher,fire,Kidde", 2866 6895,灣仔 麥加力歌街1-19號加達樓地下
New Power Fire Engrg Co,消防設備, 2381 1272,"Bedford Fty Mans, Tai Kok Tsui"
Yue Hing Mach Fty Ltd,消防設備, 2362 5112,"4 Lo Lung Hang St, Hung Hom"
信益有限公司,消防設備, 2527 9663,灣仔 智群商業中心
保全(亞太)有限公司,消防設備, 2836 3692,灣仔 集成中心
海灣控股有限公司,消防設備, 2877 8566,上環 干諾道中168-200號信德中心西座16樓1612室
捷誠消防工程公司,消防設備, 2713 5848,土瓜灣 瑞英工業大廈
淩豐工程服務有限公司 ,消防設備, 2356 7108,馬頭角 新寶工商中心
凱德中國有限公司,消防設備, 2195 3688,九龍灣 傲騰廣場
勝記周雄消防設備有限公司,消防設備, 2783 0981,油麻地 新填地街354A2
普迪工程貿易,消防設備, 2481 6213,葵涌 華達工業中心
董輝記木業有限公司,消防設備, 2742 7668,長沙灣 九龍廣場
Sun Ah Dec Iron Ware Engrg,鐵閘工程, 2365 1570,"11 Fung Yi St, Ma Tau Kok"
藝進鋼閘製品工程公司,鐵閘工程, 2395 2885,大角咀 
驪住鈴木(香港)有限公司,鐵閘工程, 2576 4307,觀塘 鴻圖道1
Cheung Chun Aluminum,鐵閘工程, 2633 2962,"Sunshine Bazaar, Ma On Shan"
Ming Mun Steel Gate Engrg,鐵閘工程, 2380 0133,"657 Shanghai St, Mong Kok"
Tai Hon Steel & Engrg Co Ltd,鐵閘工程, 2591 0787,"496 Reclamation St, Mong Kok"
弘潤有限公司,鐵閘工程, 2393 5555,上水 石湖新村
永明鋼鐵閘中心,鐵閘工程, 2393 3039,旺角 凱途發展大廈
金門鐵閘(工程)有限公司,鐵閘工程, 2498 8837,荃灣 昌華大廈
偉記鋼閘工程公司,鐵閘工程, 2397 6902,旺角 快富街1K
森記工程,鐵閘工程, 2944 6375,元朗 振輝花園
順聯號,鐵閘工程, 2780 5111,旺角 百祥大廈
香港有安科技有限公司,"電子製品─零售,鎖─批發及製造,指紋鎖,智能鎖", 6631 8008,北角 英皇道250號北角城中心1802B-A8室
誠信建築材料有限公司,"Building Materials,鎖─批發及製造", 2397 6061,旺角 旺角道6K地下
亞薩合萊香港有限公司,鎖─批發及製造, 2260 0800,尖沙咀 中港城
振聲實業(香港)有限公司,鎖─批發及製造, 2584 6300,觀塘 廣生行中心
新其昌國際有限公司,鎖─批發及製造, 2889 2088,沙田 達利廣場
